Generated by henre-083631 on 06 Dec 2023 10:53
Invoice no.,Invoice date,No. of shipments,Subtotal,VAT,Total,Outstanding,Status,Tracking references,Shipment status
INV12777217,30 Nov 2023,1,116.00,17.40,133.40,0.00,Paid,QFZ9FG,Delivered
INV12746459,29 Nov 2023,3,378.00,56.70,434.70,0.00,Paid,"QJF98C,DD8FT6,CBKXGV",Multiple
INV12722283,28 Nov 2023,1,116.00,17.40,133.40,0.00,Paid,7FB3ZH,Delivered
INV12700424,27 Nov 2023,5,1600.00,240.00,1840.00,0.00,Paid,"Q4N37C,C6PM7N,7SGM8P,3LLZLH,67DTHH",Multiple
INV12678537,25 Nov 2023,1,81.00,12.15,93.15,0.00,Paid,NGTHLV,Delivered
INV12645994,23 Nov 2023,1,161.00,24.15,185.15,0.00,Paid,JKB9PD,Delivered
INV12624206,22 Nov 2023,4,1094.00,164.10,1258.10,0.00,Paid,"9X86QD,NS6BRD,KXMFRT,XHZG3S",Multiple
INV12603021,21 Nov 2023,1,81.00,12.15,93.15,0.00,Paid,3KKNZT,Delivered
INV12580247,20 Nov 2023,4,889.00,133.35,1022.35,0.00,Paid,"C66MV8,FMM6NW,FCBT6H,MGBP4V",Multiple
INV12533189,16 Nov 2023,1,81.00,12.15,93.15,0.00,Paid,SVLWLC,Delivered
INV12511334,15 Nov 2023,3,313.00,46.95,359.95,0.00,Paid,"B3Z9Z8,GGHM8S,SX7GSM",Multiple
INV12489694,14 Nov 2023,2,332.00,49.80,381.80,0.00,Paid,"3JZMHL,BF7BXJ",Multiple
INV12467473,13 Nov 2023,2,162.00,24.30,186.30,0.00,Paid,"8ZRMJT,DST7WK",Multiple
INV12441457,10 Nov 2023,3,1033.00,154.95,1187.95,0.00,Paid,"43ZCTC,DMZSWT,F4JXHM",Multiple
INV12420946,09 Nov 2023,2,232.00,34.80,266.80,0.00,Paid,"P8KZPS,LGB4CG",Multiple
INV12398577,08 Nov 2023,1,81.00,12.15,93.15,0.00,Paid,KJGGMF,Delivered
INV12376909,07 Nov 2023,2,162.00,24.30,186.30,0.00,Paid,"QBXMNM,GHVHHC",Multiple
INV12354897,06 Nov 2023,1,96.00,14.40,110.40,0.00,Paid,CKWSGV,Delivered
INV12329738,03 Nov 2023,2,296.00,44.40,340.40,0.00,Paid,"4SCQ7M,GX4RZH",Multiple
INV12312359,02 Nov 2023,3,548.00,82.20,630.20,0.00,Paid,"XWH7SP,NT3QBF,D4F4MB",Multiple
