Bill Number,Bill Date,Rate,Vendor,Bill Status,Account
INV12777217,2023-11-30,116.0,Courier Guy,Draft,2340
INV12746459,2023-11-29,378.0,Courier Guy,Draft,2340
INV12722283,2023-11-28,116.0,Courier Guy,Draft,2340
INV12700424,2023-11-27,1600.0,Courier Guy,Draft,2340
INV12678537,2023-11-25,81.0,Courier Guy,Draft,2340
INV12645994,2023-11-23,161.0,Courier Guy,Draft,2340
INV12624206,2023-11-22,1094.0,Courier Guy,Draft,2340
INV12603021,2023-11-21,81.0,Courier Guy,Draft,2340
INV12580247,2023-11-20,889.0,Courier Guy,Draft,2340
INV12533189,2023-11-16,81.0,Courier Guy,Draft,2340
INV12511334,2023-11-15,313.0,Courier Guy,Draft,2340
INV12489694,2023-11-14,332.0,Courier Guy,Draft,2340
INV12467473,2023-11-13,162.0,Courier Guy,Draft,2340
INV12441457,2023-11-10,1033.0,Courier Guy,Draft,2340
INV12420946,2023-11-09,232.0,Courier Guy,Draft,2340
INV12398577,2023-11-08,81.0,Courier Guy,Draft,2340
INV12376909,2023-11-07,162.0,Courier Guy,Draft,2340
INV12354897,2023-11-06,96.0,Courier Guy,Draft,2340
INV12329738,2023-11-03,296.0,Courier Guy,Draft,2340
INV12312359,2023-11-02,548.0,Courier Guy,Draft,2340
