Generated by henre-083631 on 12 Nov 2023 17:32
Invoice no.,Invoice date,No. of shipments,Subtotal,VAT,Total,Outstanding,Status,Tracking references,Shipment status
INV12441457,10 Nov 2023,3,1033.00,154.95,1187.95,0.00,Paid,"43ZCTC,DMZSWT,F4JXHM",Multiple
INV12420946,09 Nov 2023,2,232.00,34.80,266.80,0.00,Paid,"P8KZPS,LGB4CG",Multiple
INV12398577,08 Nov 2023,1,81.00,12.15,93.15,0.00,Paid,KJGGMF,Delivered
INV12376909,07 Nov 2023,2,162.00,24.30,186.30,0.00,Paid,"QBXMNM,GHVHHC",Multiple
INV12354897,06 Nov 2023,1,96.00,14.40,110.40,0.00,Paid,CKWSGV,Delivered
INV12329738,03 Nov 2023,2,296.00,44.40,340.40,0.00,Paid,"4SCQ7M,GX4RZH",Multiple
INV12312359,02 Nov 2023,3,548.00,82.20,630.20,0.00,Paid,"XWH7SP,NT3QBF,D4F4MB",Multiple
INV12265702,31 Oct 2023,5,610.00,91.50,701.50,0.00,Paid,"DVGLHV,FX9DBL,9NLTSD,3398NL,W9WPPN",Multiple
INV12242838,30 Oct 2023,1,81.00,12.15,93.15,0.00,Paid,SJJNGM,Delivered
INV12218480,27 Oct 2023,2,197.00,29.55,226.55,0.00,Paid,"WGDPFH,PD8HNV",Multiple
INV12199176,26 Oct 2023,2,197.00,29.55,226.55,0.00,Paid,"K6FQTG,Q7WGKM",Multiple
INV12177684,25 Oct 2023,6,1066.00,159.90,1225.90,0.00,Paid,"68GRDH,789V7H,SDTFTW,B78LDL,ZK4ZWP,T9XZWR",Multiple
INV12135776,23 Oct 2023,2,557.00,83.55,640.55,0.00,Paid,"WFCRQT,PMXMDQ",Multiple
INV12111186,20 Oct 2023,2,277.00,41.55,318.55,0.00,Paid,"47BVBW,DJLJJ8",Multiple
INV12092330,19 Oct 2023,5,545.00,81.75,626.75,0.00,Paid,"RVC8FJ,VTKGPT,NV4GHD,NP9KFR,DLNQFX",Multiple
INV12071402,18 Oct 2023,3,1052.65,157.90,1210.55,0.00,Paid,"LGCHGK,DJJXGD,6VC7CG",Multiple
INV12050955,17 Oct 2023,3,448.00,67.20,515.20,0.00,Paid,"JVG6KW,T4HVHK,SJF3KT",Multiple
INV12029699,16 Oct 2023,6,1336.00,200.40,1536.40,0.00,Paid,"RTGMXL,LQ4LNP,6LDC6N,BFX4XG,CZSBSC,LDN3DM",Multiple
INV12005120,13 Oct 2023,1,392.00,58.80,450.80,0.00,Paid,44D3DJ,Delivered
INV11964640,11 Oct 2023,1,116.00,17.40,133.40,0.00,Paid,FJN7Z4,Delivered
INV11943918,10 Oct 2023,3,403.00,60.45,463.45,0.00,Paid,"VQCGTT,6PDVHH,7PM9BL",Multiple
INV11897139,06 Oct 2023,2,377.00,56.55,433.55,0.00,Paid,"B3CD3B,K9767G",Multiple
INV11857253,04 Oct 2023,4,489.00,73.35,562.35,0.00,Paid,"PFDKZF,NDW7RK,ZFZZZC,6PJXFT",Multiple
INV11838041,03 Oct 2023,4,499.00,74.85,573.85,0.00,Paid,"33893P,3T3PSL,GPSNRL,RIEIN105949",Multiple
