Bill Number,Bill Date,Rate,Vendor,Bill Status,Account
INV12441457,2023-11-10,1033.0,Courier Guy,Draft,2340
INV12420946,2023-11-09,232.0,Courier Guy,Draft,2340
INV12398577,2023-11-08,81.0,Courier Guy,Draft,2340
INV12376909,2023-11-07,162.0,Courier Guy,Draft,2340
INV12354897,2023-11-06,96.0,Courier Guy,Draft,2340
INV12329738,2023-11-03,296.0,Courier Guy,Draft,2340
INV12312359,2023-11-02,548.0,Courier Guy,Draft,2340
INV12265702,2023-10-31,610.0,Courier Guy,Draft,2340
INV12242838,2023-10-30,81.0,Courier Guy,Draft,2340
INV12218480,2023-10-27,197.0,Courier Guy,Draft,2340
INV12199176,2023-10-26,197.0,Courier Guy,Draft,2340
INV12177684,2023-10-25,1066.0,Courier Guy,Draft,2340
INV12135776,2023-10-23,557.0,Courier Guy,Draft,2340
INV12111186,2023-10-20,277.0,Courier Guy,Draft,2340
INV12092330,2023-10-19,545.0,Courier Guy,Draft,2340
INV12071402,2023-10-18,1052.65,Courier Guy,Draft,2340
INV12050955,2023-10-17,448.0,Courier Guy,Draft,2340
INV12029699,2023-10-16,1336.0,Courier Guy,Draft,2340
INV12005120,2023-10-13,392.0,Courier Guy,Draft,2340
INV11964640,2023-10-11,116.0,Courier Guy,Draft,2340
INV11943918,2023-10-10,403.0,Courier Guy,Draft,2340
INV11897139,2023-10-06,377.0,Courier Guy,Draft,2340
INV11857253,2023-10-04,489.0,Courier Guy,Draft,2340
INV11838041,2023-10-03,499.0,Courier Guy,Draft,2340
