Bill Number,Bill Date,Rate,Vendor,Bill Status,Account
INV11241834,2023-08-24,192.01,Courier Guy,Draft,2340
INV11179085,2023-08-21,113.5,Courier Guy,Draft,2340
INV11153772,2023-08-18,767.52,Courier Guy,Draft,2340
INV11133961,2023-08-17,113.5,Courier Guy,Draft,2340
INV11112509,2023-08-16,390.51,Courier Guy,Draft,2340
INV11091548,2023-08-15,113.5,Courier Guy,Draft,2340
INV11068995,2023-08-14,113.5,Courier Guy,Draft,2340
INV11044149,2023-08-11,227.01,Courier Guy,Draft,2340
INV11024414,2023-08-10,623.02,Courier Guy,Draft,2340
INV10995479,2023-08-08,447.01,Courier Guy,Draft,2340
INV10981989,2023-08-07,113.5,Courier Guy,Draft,2340
INV10956580,2023-08-04,78.5,Courier Guy,Draft,2340
INV10937801,2023-08-03,353.5,Courier Guy,Draft,2340
INV10918454,2023-08-02,113.5,Courier Guy,Draft,2340
