LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C332302,DMN2056U-7,Diodes Incorporated,,SOT-23,"20V 4A 940mW 38mΩ@4.5V,3.6A N Channel SOT-23  MOSFETs ROHS",YES,1000,5\5,0.064100,64.10
C70590,X322524MOB4SI,YXC,,SMD3225-4P,24MHz 12pF ±10ppm SMD3225-4P  Crystals ROHS,YES,300,10\10,0.048900,14.67
C2907108,FRC0603J160 TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 16Ω 0603  Chip Resistor - Surface Mount ROHS,YES,3000,100\100,0.000700,2.10
C385060,CYPC817(B-TP2),OCIC,,SOP-4-2.54mm,"80V 5000V 50mA 0.1V@5mA,2mA 1 6V 1.2V DC SOP-4-2.54mm  Optocouplers - Phototransistor Output ROHS",YES,1000,10\10,0.030800,30.80
C194407,DC-470-2.1GP,GANGYUAN,,Plugin,Shrouded DC Power Receptacle -40℃~+55℃ 2.1mm 6.3mm 500mA 30V Plugin  AC/DC Power Connectors ROHS,YES,100,10\10,0.060100,6.01
C2907002,FRC0603F1001TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,20000,100\100,0.000500,10.00
C282519,TCC0603X7R104K500CT,CCTC,,0603,50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,20000,100\100,0.001100,22.00
C64898,SM4007PL,MDD（Microdiode Electronics）,,SOD-123FL,1A 1kV 1.1V@1A SOD-123FL  Diodes - General Purpose ROHS,YES,9000,100\100,0.004200,37.80
C98931,HK4100F-DC3V-SHG,Ningbo Keke New Era Appliance,,"DIP,10.5x14.5mm"," DIP,10.5x14.5mm  Power Relays ROHS",YES,200,5\5,0.236200,47.24
C2926140,FSS2302S,FOSAN,,SOT-23(TO-236),"20V 2.5A 1000mW 55mΩ@4.5V,3.6A N Channel SOT-23(TO-236)  MOSFETs ROHS",YES,9000,50\50,0.010000,90.00
C692540,XKSIM-003-P7,XKB Connectivity,,SMD,Copper Alloy Self bomb Gold plating 1.5mm Deck -40℃~+85℃ 260℃ MicroSIM card SMD  SIM Card Connectors ROHS,YES,1000,1\1,0.268900,268.90
C385254,MCS0630-100MN1,PSA(Prosperity Dielectrics),,SMD,4A 10uH ±20% SMD  Power Inductors ROHS,YES,1000,5\5,0.046700,46.70
C358693,MTP125-1204S1,MINTRON,,"Plugin,P=2.54mm","Straight Square Pins 2.5mm 8P 6mm -40℃~+105℃ 3mm 2.54mm 双排 Black Brass 2x4P 2.54mm Plugin,P=2.54mm  Pin Headers ROHS",YES,1000,10\10,0.024400,24.40
C269866,YD3082EESA,GATEMODE,,SOP-8,transceiver 1Mbps 1/1 SOP-8  RS-485/RS-422 ICs ROHS,YES,2500,5\5,0.107900,269.75
C496551,BWSMA-KWE-Z001,BAT WIRELESS,,Plugin,1 Inner bore SMA Board Edge Bend 12.4GHz 50Ω 5.3mm Plugin  RF Connectors / Coaxial Connectors ROHS,YES,1000,1\1,0.243500,243.50
C2907001,FRC0603F1802TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 18kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,10000,100\100,0.000600,6.00
C2907063,FRC0603F6802TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 68kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,10000,100\100,0.000500,5.00
C9807,CL31A106KAHNNNE,Samsung Electro-Mechanics,,1206,25V 10uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,6000,20\20,0.013600,81.60
C105424,920-462A2021S10108,Jing Extension of the Electronic Co.,,SMD,USB 2.0 1 5P Female Mini-B SMD  USB Connectors ROHS,YES,1000,5\5,0.063000,63.00
C2895463,XL-304SURC,XINGLIGHT,,"Plugin,D=3mm","Colorless transparence 615nm~620nm -25℃~+85℃ Red 50° 80mW Plugin,D=3mm  Light Emitting Diodes (LED) ROHS",YES,2000,20\20,0.013700,27.40
C5290177,BH-123A-A5BJ002,MYOUNG,,-,Battery case CR123A -  Battery Connectors ROHS,YES,160,1\1,0.407300,65.17
C431631,STM32G030K8T6,STMicroelectronics,,LQFP-32(7x7),64KB 2V~3.6V ARM Cortex-M0 8KB 64MHz FLASH 30 LQFP-32(7x7)  Microcontroller Units (MCUs/MPUs/SOCs) ROHS,YES,250,1\1,0.478900,119.73
C189750,R-RJ11R06P-A800,Ckmtw(Shenzhen Cankemeng),,Plugin,RJ11 RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,1000,5\5,0.103500,103.50
C5246515,HV1A337M0607PZ,Honor Elec,,"SMD,D6.3xL7.7mm","10V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS",YES,1000,5\5,0.091200,91.20
C2907028,FRC0603F3302TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±1% 33kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.000500,2.50
