"Manufacture Part Number","Description","Order Qty.","Unit Price","Unit Price (ZAR)","Order Price","Order Price (ZAR)"
"CC0603KRX7R9BB104","50V 100nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS",20000,0.0013,0.01976,26,395.2
"ATTINY804-SSNR","8KB 512Byte FLASH 12 1.8V~5.5V AVR 20MHz SOIC-14  Microcontroller Units (MCUs/MPUs/SOCs) ROHS",500,1.0023,15.23493,501.15,7617.465
"Ra-01SH"," SMD-16P  LoRa Modules ROHS",200,3.8501,58.521404,770.02,11704.2808
"0603WAJ0102T5E","100mW Thick Film Resistors ±100ppm/℃ ±5% 1000Ω 0603  Chip Resistor - Surface Mount ROHS",20000,0.0005,0.0076,10,152
"FRC0603F5601TS","100mW Thick Film Resistors ±100ppm/℃ ±1% 5600Ω 0603  Chip Resistor - Surface Mount ROHS",5000,0.0006,0.00912,3,45.6
"FRC0603F3902TS","100mW Thick Film Resistors ±100ppm/℃ ±1% 39000Ω 0603  Chip Resistor - Surface Mount ROHS",5000,0.0005,0.0076,2.5,38
"FRC0603F1802TS","100mW Thick Film Resistors ±100ppm/℃ ±1% 18000Ω 0603  Chip Resistor - Surface Mount ROHS",15000,0.0005,0.0076,7.5,114
"TAJD477K006RNJ","470uF 6.3V 400mΩ@100kHz ±10% CASE-D-7343  Tantalum Capacitors ROHS",1000,0.3389,5.15127,338.9,5151.27
"10D431K","710V 350V 275V 387V~473V Plugin  Varistors ROHS",1500,0.0297,0.451439,44.55,677.1585
"JK250-120U","250V 120mA 3A 240mA Plugin,P=5.1mm  Resettable Fuses ROHS",2000,0.0303,0.460559,60.6,921.118
"XKSIM-003-P7","Copper Alloy Self bomb Gold plating 1.5mm Deck -40℃~+85℃ 260℃ MicroSIM card SMD  SIM Card Connectors ROHS",2000,0.2689,4.087272,537.8,8174.544
,,,,,,
"TotalZAR = 34990.63",,,,,,
