LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price,Order Price
C98931,HK4100F-DC3V-SHG,Ningbo Keke New Era Appliance,,"DIP,10.5x14.5mm"," DIP,10.5x14.5mm  Power Relays ROHS",YES,300,5\5,0.236200,70.86
C305919,215877-1,TE Connectivity,,Plugin,RJ45 RJReceptacle Unshielded 1 cat3 Gold Phosphor bronze Without LED Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS,YES,2100,1\1,0.507600,1065.96
C116576,T491D477K006AT,KEMET,,CASE-D-7343,470uF 6.3V 400mΩ@100kHz ±10% CASE-D-7343  Tantalum Capacitors ROHS,YES,1000,1\1,0.350100,350.10
C2894606,CR1/4W-1K±5%-ST26,VO,,"Plugin,2.7x6.2mm","Carbon Resister 1kΩ 250mW ±350ppm/℃ ±5% Plugin,2.7x6.2mm  Through Hole Resistors ROHS",YES,200,100\100,0.002500,0.50
C2894599,CR1/4W-10K±5%-ST26,VO,,"Plugin,2.7x6.2mm","Carbon Resister 10kΩ 250mW ±350ppm/℃ ±5% Plugin,2.7x6.2mm  Through Hole Resistors ROHS",YES,200,100\100,0.002400,0.48
C351092,YSPI0420-6R8M,YJYCOIN,,"SMD,4.4x4.2x2mm","2A 6.8uH ±20% SMD,4.4x4.2x2mm  Power Inductors ROHS",YES,250,5\5,0.107900,26.98
C311983,TPS54302DDCR,Texas Instruments,,SOT-23-6,Step-down type Adjustable 0.596V~28V 3A 4.5V~28V SOT-23-6  DC-DC Converters ROHS,YES,250,5\5,0.127000,31.75
C454896,TX4G-FPC-4015,ZIISOR,,-," -  Antennas ROHS",YES,100,1\1,0.251400,25.14
C454906,TXGN-FPC-3308,ZIISOR,,-," -  Antennas ROHS",YES,100,1\1,0.249800,24.98
C496569,BW4GFNX39-15B1,BAT WIRELESS,,-," -  Antennas ROHS",YES,100,1\1,0.299100,29.91
C2907111,FRC0603J183 TS,FOJAN,,0603,100mW Thick Film Resistors ±100ppm/℃ ±5% 18kΩ 0603  Chip Resistor - Surface Mount ROHS,YES,10000,100\100,0.000500,5.00
C2974810,RM10D431KD1IE100,Dersonic,,"Plugin,P=7.5mm","710V 350V 275V 430V Plugin,P=7.5mm  Varistors ROHS",YES,2000,10\10,0.034100,68.20
