Manufacture Part Number,Description,Order Qty.,Unit Price,Unit Price (ZAR),Order Price,Order Price (ZAR)
FDC6420C, SOT-23-6  MOSFETs ROHS,1000,0.0682,1.37184,68.2,1371.84
SMBJ12CA,19.9V 13.3V 12V SMB(DO-214AA)  TVS ROHS,500,0.0244,0.490805,12.2,245.4025
LBAT54SLT1G,30V 0.4V 0.2A SOT-23  Schottky Barrier Diodes (SBD) ROHS,1000,0.0112,0.225287,11.2,225.28699999999998
PSPCAQ32-100M,"900mA 10uH ±20% 900mA SMD,3.0x3.5x2.1mm  Power Inductors ROHS",500,0.0247,0.496839,12.35,248.4195
CD32-150M,820mA 15uH ±20% SMD  Power Inductors ROHS,500,0.0281,0.56523,14.05,282.615
CMLF0302-1R0MTT,3.34A 1uH ±20% SMD  Power Inductors ROHS,500,0.0231,0.464655,11.55,232.3275
YP0302-331M,"120mA 330uH ±20% SMD,3.5x3x2.1mm  Power Inductors ROHS",500,0.026,0.522989,13.0,261.4945
1N5819WS S4,40V Single 350mA 600mV@200mA SOD-323  Schottky Barrier Diodes (SBD) ROHS,3000,0.0048,0.096552,14.4,289.656
AMS1117-3.3, SOT-223  Linear Voltage Regulators (LDO) ROHS,200,0.0243,0.488793,4.86,97.7586
AMS1117-5.0,1.4A Fixed 5V Positive 18V SOT-223  Linear Voltage Regulators (LDO) ROHS,200,0.0337,0.677874,6.74,135.57479999999998
CL31A105KB9LNNC,50V 1uF X5R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2000,0.0112,0.225287,22.4,450.57399999999996
CC1206KRX7R9BB334,50V 330nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2000,0.0177,0.356035,35.4,712.0699999999999
TCC1206X7R154K500DT,50V 150nF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,2000,0.0132,0.265517,26.4,531.034
0603WAJ0302T5E,100mW Thick Film Resistors ±100ppm/℃ ±5% 3kΩ 0603  Chip Resistor - Surface Mount ROHS,5000,0.0006,0.012069,3.0,60.345
FRC0603F7R50TS,100mW Thick Film Resistors ±200ppm/℃ ±1% 7.5Ω 0603  Chip Resistor - Surface Mount ROHS,5000,0.0007,0.01408,3.5,70.4
FRC0603F3300TS,100mW Thick Film Resistors ±100ppm/℃ ±1% 330Ω 0603  Chip Resistor - Surface Mount ROHS,20000,0.0006,0.012069,12.0,241.38
BL4054B-42TPRN, SOT-23-5  Battery Management ICs ROHS,200,0.1103,2.218679,22.06,443.7358
0603B103K500NT,50V 10nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,4000,0.0016,0.032184,6.4,128.736
0603WAF1002T5E,100mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS,15000,0.0006,0.012069,9.0,181.035
HV0J337M0607PZ,"6.3V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS",1000,0.0858,1.725863,85.8,1725.8629999999998
RT1C102M1010,"1000uF 16V ±20% SMD,D10xL10.2mm  Aluminum Electrolytic Capacitors - SMD ROHS",2000,0.0582,1.17069,116.4,2341.38
WJ126V-5.0-2P,"1x2P 18A -40℃~+105℃ 250V Green 14~26 Straight pin 5mm 2.5 1 2 Plugin,P=5mm  Screw terminal ROHS",2000,0.0441,0.887069,88.2,1774.138
TAJD477M006RNJ,470uF 6.3V 400mΩ@100kHz ±20% CASE-D-7343  Tantalum Capacitors ROHS,1000,0.3405,6.84914,340.5,6849.14
BH-123A-A5BJ002,Battery case CR123A -  Battery Connectors ROHS,100,0.4073,8.192819,40.73,819.2819
M1820ZT5, -  Temperature Sensors ROHS,50,0.945,19.008628,47.25,950.4314
XT1861B362MR-G,boost converterType 3.6V 0.9V~6.5V SOT-23  DC-DC Converters ROHS,1000,0.0457,0.919253,45.7,919.253
Ra-01S," SMD,16x17mm  LoRa Modules ROHS",800,2.9703,59.747436,2376.24,47797.9488
Ra-01SH, SMD-16P  LoRa Modules ROHS,200,3.8469,77.380201,769.38,15476.0402
