+ACI-Manufacture Part Number+ACI-,+ACI-Description+ACI-,+ACI-Order Qty.+ACI-,+ACI-Unit Price+ACI-,+ACI-Unit Price (ZAR)+ACI-,+ACI-Order Price+ACI-,+ACI-Order Price (ZAR)+ACI-
+ACI-KF635+AC0-6.35+AC0-2P+ACI-,+ACI-1x2P 32A +AC0-40+//0A4v/9AIT//QCDAH7XTnnn//0- 450V Green 10+AH4-22 Straight 6.35mm 4 1 2 Plugin,P+AD0-6.35mm  Screw terminal ROHS+ACI-,250,0.1519,3.567002,37.98,891.7505
+ACI-T491D477K006AT+ACI-,+ACI-470uF 6.3V 400m+//0Azv/9AKkAQA-100kHz +//0Awv/9ALE-10+ACU- CASE+AC0-D+AC0-7343  Tantalum Capacitors ROHS+ACI-,1000,0.3501,8.221248,350.1,8221.248
+ACI-FSS2302S+ACI-,+ACI-20V 2.5A 1000mW 55m+//0Azv/9AKkAQA-4.5V,3.6A 1.5V+AEA-250uA N Channel SOT+AC0-23  MOSFETs ROHS+ACI-,6000,0.009,0.211343,54,1268.058
+ACI-PH+AC0-00035+ACI-,+ACI-3A Straight Square Pins 2.5mm 8P 6mm +AC0-40+//0A4v/9AIT//QCDAH7XTnnn//0- 3mm 2.54mm +//0A5f/9AI///QCM//0A5v/9AI7//QCS- Black 2.54mm 2x4P Plugin,P+AD0-2.54mm  Pin Headers ROHS+ACI-,2000,0.0244,0.572975,48.8,1145.95
+ACI-TAS10+AC0-12+AC0-W2+ACI-,+ACI-12V 85VAC+AH4-265VAC 830mA 100V+AH4-370V 10W 85+ACU- Plugin,25x39mm  Power Modules ROHS+ACI-,80,2.6632,62.53878,213.06,5003.1024
+ACI-SM4007PL+ACI-,+ACI-1A 1kV 1.1V+AEA-1A SOD+AC0-123FL  Diodes +AC0- General Purpose ROHS+ACI-,6000,0.0049,0.115065,29.4,690.39
+ACI-HV1A337M0607PZ+ACI-,+ACI-10V 330uF SMD,D6.3xL7.7mm  Solid Capacitors ROHS+ACI-,900,0.1187,2.787381,106.83,2508.6429
+ACI-C2333+ACI-,+ACI-250V 3A Straight Square Pins 80P +AC0-25+//0A4v/9AIT//QCDAH7znv/9- 2.54mm +//0A5f/9AI///QCM//0A5v/9AI7//QCS- Black 2x40P 2.54mm Plugin,P+AD0-2.54mm  Pin Headers ROHS+ACI-,100,0.1839,4.318445,18.39,431.8445
+ACI-WJ126V+AC0-5.0+AC0-2P+ACI-,+ACI-1x2P 18A +AC0-40+//0A4v/9AIT//QCDAH7XTnnn//0- 250V Green 14+AH4-26 Straight 5mm 2.5 1 2 Plugin,P+AD0-5mm  Screw terminal ROHS+ACI-,2000,0.0426,1.000357,85.2,2000.714
+ACI-WJ126V+AC0-5.0+AC0-3P+ACI-,+ACI-1x3P 18A +AC0-40+//0A4v/9AIT//QCDAH7XTnnn//0- 250V Green 14+AH4-26 Straight 5mm 2.5 1 3 Plugin,P+AD0-5mm  Screw terminal ROHS+ACI-,1000,0.0657,1.542805,65.7,1542.805
955012881,+ACI-RJReceptacle 1 Plugin  Ethernet Connectors/Modular Connectors (RJ45 RJ11) ROHS+ACI-,1200,0.2864,6.725408,343.68,8070.4896
+ACI-SD103AW+ACI-,+ACI-40V Single 350mA 600mV+AEA-200mA SOD+AC0-123  Schottky Barrier Diodes (SBD) ROHS+ACI-,6000,0.0037,0.086886,22.2,521.316
+ACI-MP2104K27D2R8LC+ACI-,+ACI-100nF +//0Awv/9ALE-10+ACU- X2 Plugin,P+AD0-15mm  Suppression Capacitors ROHS+ACI-,900,0.0228,0.535403,20.52,481.8627
+ACI-MP2823K27D2X8LC+ACI-,+ACI-82nF +//0Awv/9ALE-10+ACU- X2 Plugin,P+AD0-15mm  Suppression Capacitors ROHS+ACI-,300,0.0287,0.67395,8.61,202.185
+ACI-MX635+AC0-6.35+AC0-02P+AC0-GN01+AC0-Cu+AC0-PS+AC0-A+ACI-,+ACI-Copper Alloy 1x2P Tin 6.35mm 4 1 2 +AC0-40+//0A4v/9AIT//QCDAH7XTnnn//0- 30A 300V Green 10+AH4-26 Straight Plugin,P+AD0-6.35mm  Screw terminal ROHS+ACI-,400,0.1172,2.752157,46.88,1100.8628
+ACI-JL636+AC0-63502G01+ACI-,+ACI-1x2P +AC0-40+//0A4v/9AIT//QCDAH7XTnnn//0- 30A 300V Green 10+AH4-26 Straight 6.35mm 1 2 Plugin,P+AD0-6.35mm  Screw terminal ROHS+ACI-,10,0.2195,5.154424,2.2,51.54424
+ACI-HK4100F+AC0-DC3V+AC0-SHG+ACI-,+ACI- DIP,10.5x14.5mm  Power Relays ROHS+ACI-,250,0.2362,5.546583,59.05,1386.64575
+ACI-CC0603KRX7R9BB104+ACI-,+ACI-50V 100nF X7R +//0Awv/9ALE-10+ACU- 0603  Multilayer Ceramic Capacitors MLCC +AC0- SMD/SMT ROHS+ACI-,8000,0.0013,0.030527,10.4,244.216
+ACI-G5NB+AC0-1A+AC0-E DC12+ACI-,+ACI- Plugin,7x20.4mm  Power Relays ROHS+ACI-,10,0.3214,7.547298,3.21,75.47298
,,,,,,
+ACI-TotalZAR +AD0- 35839.33+ACI-,,,,,,
