+ACI-Manufacture Part Number+ACI-,+ACI-Description+ACI-,+ACI-Order Qty.+ACI-,+ACI-Unit Price+ACI-,+ACI-Unit Price (ZAR)+ACI-,+ACI-Order Price+ACI-,+ACI-Order Price (ZAR)+ACI-
+ACI-CC0603KRX7R9BB104+ACI-,+ACI-50V 100nF X7R +//0Awv/9ALE-10+ACU- 0603  Multilayer Ceramic Capacitors MLCC +AC0- SMD/SMT ROHS+ACI-,20000,0.0013,0.01976,26,395.2
+ACI-ATTINY804+AC0-SSNR+ACI-,+ACI-8KB 512Byte FLASH 12 1.8V+AH4-5.5V AVR 20MHz SOIC+AC0-14  Microcontroller Units (MCUs/MPUs/SOCs) ROHS+ACI-,500,1.0023,15.23493,501.15,7617.465
+ACI-Ra+AC0-01SH+ACI-,+ACI- SMD+AC0-16P  LoRa Modules ROHS+ACI-,200,3.8501,58.521404,770.02,11704.2808
+ACI-0603WAJ0102T5E+ACI-,+ACI-100mW Thick Film Resistors +//0Awv/9ALE-100ppm/+//0A4v/9AIT//QCD- +//0Awv/9ALE-5+ACU- 1000+//0Azv/9AKk- 0603  Chip Resistor +AC0- Surface Mount ROHS+ACI-,20000,0.0005,0.0076,10,152
+ACI-FRC0603F5601TS+ACI-,+ACI-100mW Thick Film Resistors +//0Awv/9ALE-100ppm/+//0A4v/9AIT//QCD- +//0Awv/9ALE-1+ACU- 5600+//0Azv/9AKk- 0603  Chip Resistor +AC0- Surface Mount ROHS+ACI-,5000,0.0006,0.00912,3,45.6
+ACI-FRC0603F3902TS+ACI-,+ACI-100mW Thick Film Resistors +//0Awv/9ALE-100ppm/+//0A4v/9AIT//QCD- +//0Awv/9ALE-1+ACU- 39000+//0Azv/9AKk- 0603  Chip Resistor +AC0- Surface Mount ROHS+ACI-,5000,0.0005,0.0076,2.5,38
+ACI-FRC0603F1802TS+ACI-,+ACI-100mW Thick Film Resistors +//0Awv/9ALE-100ppm/+//0A4v/9AIT//QCD- +//0Awv/9ALE-1+ACU- 18000+//0Azv/9AKk- 0603  Chip Resistor +AC0- Surface Mount ROHS+ACI-,15000,0.0005,0.0076,7.5,114
+ACI-TAJD477K006RNJ+ACI-,+ACI-470uF 6.3V 400m+//0Azv/9AKkAQA-100kHz +//0Awv/9ALE-10+ACU- CASE+AC0-D+AC0-7343  Tantalum Capacitors ROHS+ACI-,1000,0.3389,5.15127,338.9,5151.27
+ACI-10D431K+ACI-,+ACI-710V 350V 275V 387V+AH4-473V Plugin  Varistors ROHS+ACI-,1500,0.0297,0.451439,44.55,677.1585
+ACI-JK250+AC0-120U+ACI-,+ACI-250V 120mA 3A 240mA Plugin,P+AD0-5.1mm  Resettable Fuses ROHS+ACI-,2000,0.0303,0.460559,60.6,921.118
+ACI-XKSIM+AC0-003+AC0-P7+ACI-,+ACI-Copper Alloy Self bomb Gold plating 1.5mm Deck +AC0-40+//0A4v/9AIT//QCDAH7znv/9- 260+//0A4v/9AIT//QCD- MicroSIM card SMD  SIM Card Connectors ROHS+ACI-,2000,0.2689,4.087272,537.8,8174.544
,,,,,,
+ACI-TotalZAR +AD0- 34990.63+ACI-,,,,,,
